Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship
S00001,24,Male,3.58,1052,291,3.96,Arts,3,7,2,9,8,5,27200.0,4,5,Entry,7,No
S00002,21,Other,2.52,1211,112,3.63,Law,4,7,3,8,1,4,25000.0,1,1,Mid,7,No
S00003,28,Female,3.42,1193,715,2.63,Medicine,4,8,1,1,9,0,42400.0,9,3,Entry,7,No
S00004,25,Male,2.43,1497,170,2.81,Computer Science,3,9,1,10,6,1,57400.0,7,5,Mid,5,No
S00005,22,Male,2.08,1012,599,2.48,Engineering,4,6,4,10,9,4,47600.0,9,5,Entry,2,No
S00006,24,Male,2.4,1600,631,3.78,Law,2,3,2,2,2,1,68400.0,9,2,Entry,8,Yes
S00007,27,Male,2.36,1011,610,3.83,Computer Science,0,1,3,3,3,2,55500.0,7,4,Mid,3,No
S00008,20,Male,2.68,1074,240,2.84,Computer Science,1,5,5,5,1,2,38000.0,2,3,Entry,3,No
S00009,24,Male,2.84,1201,337,3.31,Business,2,3,0,5,5,2,68900.0,2,2,Entry,2,No
S00010,28,Male,3.02,1415,138,2.33,Computer Science,1,5,3,10,2,0,58900.0,4,2,Senior,2,No
S00011,28,Female,2.95,1120,594,2.87,Mathematics,2,7,5,8,1,5,26300.0,9,1,Entry,2,No
S00012,25,Female,2.54,1070,236,3.26,Law,2,2,3,2,9,5,35100.0,7,4,Mid,6,Yes
S00013,22,Female,2.06,1217,648,2.77,Engineering,2,0,5,2,9,2,42600.0,9,4,Senior,8,No
S00014,21,Male,3.21,1112,794,2.72,Arts,0,4,3,8,6,2,76500.0,4,3,Entry,3,No
S00015,25,Male,2.79,1152,3,2.0,Business,1,2,3,1,8,1,61100.0,9,3,Entry,6,Yes
S00016,25,Female,2.6,1023,571,3.61,Computer Science,3,5,2,9,9,3,34500.0,7,4,Senior,3,No
S00017,20,Female,3.73,1539,116,3.78,Law,3,2,3,2,5,3,97500.0,8,5,Mid,9,No
S00018,23,Male,3.49,1112,472,3.94,Mathematics,4,0,5,5,2,5,61800.0,1,5,Senior,1,No
S00019,22,Female,3.72,1523,131,3.44,Mathematics,0,8,5,3,4,5,32200.0,9,2,Entry,7,No
S00020,19,Female,2.99,984,934,3.1,Mathematics,0,4,1,5,3,2,45500.0,8,4,Senior,8,No
S00021,25,Female,2.26,1415,898,2.54,Medicine,0,1,5,8,10,5,42200.0,1,2,Entry,9,No
S00022,29,Male,3.39,964,483,4.0,Business,2,1,1,8,7,3,37400.0,8,5,Senior,5,No
S00023,23,Female,2.41,1217,401,3.18,Engineering,0,8,5,6,10,2,69500.0,5,3,Senior,6,No
S00024,19,Female,2.88,1245,201,3.36,Medicine,3,0,3,9,10,2,48100.0,3,4,Mid,5,No
S00025,29,Female,2.13,1531,292,3.36,Engineering,0,9,5,7,10,0,63900.0,8,1,Mid,10,No
S00026,22,Female,3.65,1142,342,3.69,Medicine,2,2,1,2,8,4,48100.0,3,2,Entry,5,No
S00027,18,Female,2.25,1036,991,2.02,Arts,1,9,2,1,5,3,44600.0,8,4,Entry,7,No
S00028,29,Female,3.81,1146,610,2.44,Engineering,0,6,0,8,2,2,41000.0,5,1,Entry,4,No
S00029,27,Male,3.73,1340,216,3.33,Medicine,1,0,3,1,9,3,50300.0,8,2,Mid,6,No
S00030,23,Female,2.93,944,636,3.79,Mathematics,4,1,5,8,1,0,38300.0,3,5,Executive,4,No
S00031,29,Female,3.49,1557,585,3.37,Engineering,2,5,1,9,5,0,49500.0,10,2,Senior,2,No
S00032,26,Female,3.24,1587,366,2.83,Business,0,8,1,1,3,2,41500.0,6,3,Entry,2,No
S00033,18,Male,3.61,1453,890,2.72,Engineering,4,8,2,7,8,3,29800.0,6,2,Mid,4,No
S00034,28,Male,2.86,988,642,3.48,Law,4,7,5,5,8,3,44600.0,4,2,Entry,5,No
S00035,28,Female,3.57,1127,469,3.48,Engineering,1,2,2,8,1,3,25000.0,5,4,Entry,1,Yes
S00036,27,Female,2.92,1190,418,3.21,Medicine,3,1,0,4,4,0,70300.0,7,4,Entry,3,No
S00037,29,Female,3.88,1321,27,2.58,Engineering,3,0,5,2,10,1,57500.0,1,5,Executive,5,No
S00038,29,Female,2.97,966,677,3.85,Arts,3,8,4,7,8,1,43000.0,8,3,Entry,8,No
S00039,20,Female,2.93,1150,455,3.1,Computer Science,3,4,4,7,9,3,25000.0,3,3,Entry,4,Yes
S00040,29,Female,3.57,940,918,3.58,Business,2,2,5,8,9,3,50200.0,7,5,Entry,6,Yes
S00041,24,Female,3.64,998,580,2.43,Law,0,9,4,9,2,4,53400.0,9,1,Mid,4,No
S00042,21,Female,3.11,1205,14,2.69,Mathematics,0,9,0,6,9,2,56300.0,2,2,Entry,5,No
S00043,26,Female,2.36,1355,98,3.75,Medicine,2,4,3,3,8,0,38400.0,10,4,Senior,7,No
