"","iso3","country","hdicode","hdi_rank_2022","gii_rank_2022","year","hdi","life_expectancy","pop_millions","hdi_f","hdi_m","life_expec_f","life_expec_m","expec_yr_school","expec_yr_school_f","expec_yr_school_m","mean_yr_school","mean_yr_school_f","mean_yr_school_m","gross_inc_percap","gross_inc_percap_f","gross_inc_percap_m","gender_development","gender_inequality","secondary_education_f_%","secondary_education_m_%","seats_in_parliament_f_%","seats_in_parliament_m_%","labour_participation_f_%","labour_participation_m_%","co2_emission_tons","mat_footprint_percap_tons"
"1","AFG","Afghanistan","Low",182,162,1990,0.284,45.967,10.694796,NA,NA,48.397,43.709,2.936460018,2.117229735,4.532768419,0.871961963,0.201659226,1.493952171,3115.670448,NA,NA,NA,NA,1.10773324,7.899011207,NA,NA,NA,NA,0.189278973,2.1809
"2","AFG","Afghanistan","Low",182,162,1991,0.292,46.663,10.745167,NA,NA,49.144,44.353,3.228456167,2.246241706,4.76826125,0.915267456,0.218944302,1.578808654,2817.304736,NA,NA,NA,NA,1.221396302,8.137953396,NA,NA,NA,NA,0.178154514,2.5264
"3","AFG","Afghanistan","Low",182,162,1992,0.299,47.596,12.057433,NA,NA,50.32,45.07,3.520452316,2.383114936,5.01598874,0.95857295,0.236229378,1.663665137,2474.681985,NA,NA,NA,NA,1.335059365,8.376895585,NA,NA,NA,NA,0.122920028,2.6421
"4","AFG","Afghanistan","Low",182,162,1993,0.307,51.466,14.00376,NA,NA,52.739,50.216,3.812448465,2.528328443,5.276586521,1.001878443,0.253514455,1.748521621,1723.019763,NA,NA,NA,NA,1.448722428,8.615837774,NA,NA,NA,NA,0.106178626,2.3022
"5","AFG","Afghanistan","Low",182,162,1994,0.3,51.495,15.4555545,NA,NA,53.544,49.531,4.104444614,2.682390438,5.550723248,1.045183937,0.270799531,1.833378104,1202.010488,NA,NA,NA,NA,1.562385491,8.854779963,NA,NA,NA,NA,0.094063267,1.8948
"6","AFG","Afghanistan","Low",182,162,1995,0.318,52.544,16.418912,NA,NA,54.087,51.039,4.396440763,2.845840097,5.839102316,1.08848943,0.288084608,1.918234587,1477.061709,NA,NA,NA,NA,1.676048554,9.093722153,NA,NA,NA,NA,0.086321189,2.1968
"7","AFG","Afghanistan","Low",182,162,1996,0.326,53.243,17.1065955,NA,NA,54.806,51.722,4.688436912,3.019249451,6.142463664,1.123601992,0.305369684,1.979187836,1468.355839,NA,NA,NA,NA,1.77333643,9.24683074,NA,NA,NA,NA,0.080091918,2.0402
"8","AFG","Afghanistan","Low",182,162,1997,0.33,53.634,17.788819,NA,NA,55.151,52.153,4.980433061,3.203225387,6.461585672,1.158714555,0.322654761,2.040141084,1338.724144,NA,NA,NA,NA,1.870624306,9.399939327,NA,NA,NA,NA,0.073315716,2.1297
"9","AFG","Afghanistan","Low",182,162,1998,0.329,52.943,18.493132,NA,NA,54.818,51.134,5.272429209,3.398411774,6.79728716,1.193827117,0.339939837,2.101094333,1227.293565,NA,NA,NA,NA,1.967912181,9.553047915,NA,NA,NA,NA,0.069133774,2.201
"10","AFG","Afghanistan","Low",182,162,1999,0.337,54.846,19.2628475,NA,NA,56.3,53.41,5.564425358,3.605491712,7.150429489,1.228939679,0.357224914,2.162047581,1122.32257,NA,NA,NA,NA,2.065200057,9.706156502,NA,NA,NA,NA,0.056668674,2.0832
"11","AFG","Afghanistan","Low",182,162,2000,0.34,55.298,19.5429825,NA,NA,56.858,53.762,5.856421507,3.825189927,7.521918771,1.264052241,0.37450999,2.22300083,1047.342686,NA,NA,NA,NA,2.162487933,9.859265089,NA,NA,NA,NA,0.053579336,2.0707
"12","AFG","Afghanistan","Low",182,162,2001,0.344,55.798,19.6886325,NA,NA,57.344,54.272,6.148417656,4.058275305,7.912708193,1.315550666,0.395636195,2.280368593,981.1335542,NA,NA,NA,NA,2.33490902,10.47053952,NA,NA,NA,NA,0.05430037,2.108
"13","AFG","Afghanistan","Low",182,162,2002,0.368,56.454,21.0002565,NA,NA,57.672,55.227,6.440413805,4.305563584,8.323800462,1.367049091,0.416762399,2.337736357,1364.239872,NA,NA,NA,NA,2.507330107,11.08181396,NA,NA,NA,NA,0.063856364,2.2186
"14","AFG","Afghanistan","Low",182,162,2003,0.379,57.344,22.64513,NA,NA,58.65,56.032,6.732409954,4.567920208,8.756250381,1.418547515,0.437888604,2.39510412,1465.417987,NA,NA,NA,NA,2.679751194,11.6930884,NA,NA,NA,NA,0.06887132,2.2614
"15","AFG","Afghanistan","Low",182,162,2004,0.395,57.944,23.5535505,NA,NA,59.216,56.658,7.600430012,4.210760117,10.84589005,1.47004594,0.459014809,2.452471883,1453.663264,NA,NA,NA,NA,2.85217228,12.30436283,NA,NA,NA,NA,0.052527112,2.1719
"16","AFG","Afghanistan","Low",182,162,2005,0.402,58.361,24.4111905,NA,NA,59.697,57.013,7.858029938,4.675174141,10.90361595,1.521544365,0.480141013,2.509839647,1508.275616,NA,NA,NA,NA,3.024593367,12.91563727,25.92592593,74.07407407,NA,NA,0.077403024,2.1606
"17","AFG","Afghanistan","Low",182,162,2006,0.41,58.684,25.442944,NA,NA,60.243,57.133,8.115629864,5.139588165,10.96134186,1.595280745,0.495505526,2.620989688,1577.870182,NA,NA,NA,NA,2.985100269,13.78673234,25.92592593,74.07407407,NA,NA,0.084868323,1.8595
"18","AFG","Afghanistan","Low",182,162,2007,0.426,59.111,25.9033005,NA,NA,60.909,57.342,8.37322979,5.60400219,11.01906776,1.669017126,0.510870038,2.73213973,1894.877589,NA,NA,NA,NA,2.945607171,14.6578274,25.87209302,74.12790698,NA,NA,0.108090471,1.9607
"19","AFG","Afghanistan","Low",182,162,2008,0.431,59.852,26.427199,0.340360843,0.499147946,61.529,58.172,8.630829716,6.068416214,11.07679367,1.742753507,0.52623455,2.843289771,1838.976743,1033.807013,2629.006826,0.682,0.69,2.906114073,15.52892247,25.87209302,74.12790698,43.79,82.04,0.160989441,1.5415
"20","AFG","Afghanistan","Low",182,162,2009,0.441,60.364,27.3853075,0.348458579,0.508534863,61.892,58.82,8.888429642,6.532830238,11.13451958,1.816489888,0.541599063,2.954439813,1953.65815,1014.018123,2874.907179,0.685,0.696,2.866620975,16.40001754,25.92592593,74.07407407,36.85,80.79,0.233406184,1.7339
"21","AFG","Afghanistan","Low",182,162,2010,0.449,60.851,28.189672,0.353351379,0.516778949,62.408,59.278,9.180809975,6.95927,11.29763985,1.890226268,0.556963575,3.065589854,2006.788911,944.2040991,3047.653841,0.684,0.707,2.827127877,17.27111261,27.63532764,72.36467236,29.9,79.55,0.296732789,1.8507
"22","AFG","Afghanistan","Low",182,162,2011,0.457,61.419,29.249157,0.352785973,0.525878534,62.993,59.825,9.473190308,7.385709763,11.46076012,1.937043018,0.595374856,3.139689882,2059.012272,795.3937996,3296.007461,0.671,0.718,3.176786282,18.08537191,27.63532764,72.36467236,22.96,78.3,0.40473987,1.6795
"23","AFG","Afghanistan","Low",182,162,2012,0.467,61.923,30.4664785,0.342364541,0.539764799,63.514,60.317,9.803686778,7.606156667,11.89633338,1.983859768,0.633786137,3.21378991,2174.350605,612.013873,3703.030975,0.634,0.734,3.526444687,18.89963122,27.63532764,72.36467236,16.01,77.05,0.329388243,1.7636
"24","AFG","Afghanistan","Low",182,162,2013,0.475,62.417,31.5412085,0.364560992,0.54690261,64.027,60.791,10.13418325,7.826603572,12.33190664,2.030676517,0.672197418,3.287889937,2244.209474,811.3726581,3645.424062,0.667,0.712,3.876103092,19.71389052,27.63532764,72.36467236,20.9,77.07,0.293282987,1.7198
"25","AFG","Afghanistan","Low",182,162,2014,0.48,62.545,32.71621,0.363616351,0.553143443,64.274,60.812,10.46467972,8.047050476,12.7674799,2.077493267,0.710608699,3.361989965,2222.094339,741.271065,3669.659016,0.657,0.692,4.225761498,20.52814983,27.63532764,72.36467236,25.78,77.08,0.28029836,1.6724
"26","AFG","Afghanistan","Low",182,162,2015,0.479,62.659,33.753499,0.375291451,0.550073678,64.576,60.76,10.48297477,8.032045364,12.816715,2.124310017,0.74901998,3.436089993,2142.689163,883.7431223,3372.91921,0.682,0.692,4.575419903,21.34240913,27.44479495,72.55520505,24.24,75.77,0.290076593,1.7599
"27","AFG","Afghanistan","Low",182,162,2016,0.483,63.136,34.6362075,0.378101771,0.552369866,65.096,61.193,10.50126982,8.017040253,12.86595011,2.267770012,1.009363314,3.430293322,2122.363226,841.6343515,3373.450057,0.685,0.688,4.878804922,20.26295932,27.44479495,72.55520505,22.71,74.47,0.26179541,1.4994
"28","AFG","Afghanistan","Low",182,162,2017,0.485,63.016,35.6434175,0.382081775,0.548852368,66.099,60.105,10.51956487,8.002035141,12.91518521,2.411230008,1.269706647,3.424496651,2123.676477,800.8749818,3416.103907,0.696,0.681,5.182189941,19.18350951,27.44479495,72.55520505,21.17,73.16,0.276853359,1.3022
"29","AFG","Afghanistan","Low",182,162,2018,0.486,63.081,36.686784,0.383898464,0.547874087,66.458,59.923,10.53785992,7.987030029,12.96442032,2.554690003,1.53004998,3.41869998,2082.113799,761.2153687,3373.607531,0.701,0.678,5.485574961,18.1040597,27.44479495,72.55520505,19.61,71.05,0.294874579,1.3271
"30","AFG","Afghanistan","Low",182,162,2019,0.492,63.565,37.7694985,0.38715745,0.553457617,66.677,60.619,10.62129205,8.020075111,13.09576951,2.698149999,1.790393313,3.412903309,2112.986381,739.77883,3456.606979,0.7,0.676,5.78895998,17.02460988,27.24358974,72.75641026,18.06,68.95,0.293400768,1.5055
"31","AFG","Afghanistan","Low",182,162,2020,0.488,62.575,38.9722305,0.38137318,0.548740892,65.432,59.866,10.70538475,8.053256911,13.22844948,2.841609995,2.050736646,3.407106638,1986.803772,670.9962486,3275.057369,0.695,0.674,6.092344999,15.94516007,27.21518987,72.78481013,16.5,66.84,0.305040281,1.5554
"32","AFG","Afghanistan","Low",182,162,2021,0.473,61.982,40.099462,0.379129485,0.528559011,65.279,58.915,10.70538475,8.053256911,13.22844948,2.98506999,2.311079979,3.401309967,1534.135377,618.8682881,2430.862265,0.717,0.653,6.395730019,14.86571026,27.21518987,72.78481013,23.33,77.09,0.306318324,1.2351
"33","AFG","Afghanistan","Low",182,162,2022,0.462,62.879,41.128771,0.332443297,0.534144723,66.213,59.766,10.70538475,8.053256911,13.22844948,2.514790058,1.174129963,3.912739992,1335.205733,395.9154586,2256.217507,0.622,0.665,7.042049885,24.07703972,27.21518987,72.78481013,23.33,77.09,0.306318324,1.1809
"34","ALB","Albania","High",74,34,1990,0.649,73.144,3.2950655,0.625742114,0.668086526,76.433,70.05,11.57933998,11.15252018,11.98832989,7.354632085,6.692813596,7.920670472,4964.172443,3918.806663,5972.920553,0.937,NA,58.16488349,67.01064279,NA,NA,45.22,50.78,1.675414089,7.4874
"35","ALB","Albania","High",74,34,1991,0.632,73.378,3.3020815,0.608457114,0.651701222,76.631,70.321,11.78129959,11.32670021,12.22325993,7.352753507,6.696485922,7.922592965,3501.732374,2792.06177,4190.960371,0.934,NA,58.38584943,67.06259649,NA,NA,44.52,50.11,1.299241297,5.7207
"36","ALB","Albania","High",74,34,1992,0.616,73.715,3.303739,0.59728406,0.631528488,76.972,70.66,10.65800953,10.5637598,10.75088024,7.350874929,6.700158247,7.924515458,3177.137422,2597.641212,3743.673495,0.946,NA,58.60681536,67.11455018,NA,NA,44.18,49.21,0.761894326,6.1537
"37","ALB","Albania","High",74,34,1993,0.618,73.939,3.3007105,0.594260981,0.635891208,77.118,70.957,10.07353973,10.11645031,10.03250027,7.348996351,6.703830573,7.926437951,3595.914885,2650.759994,4526.115332,0.935,NA,58.8277813,67.16650387,NA,NA,36.54,48.61,0.708332235,5.3004
"38","ALB","Albania","High",74,34,1994,0.623,74.131,3.2939985,0.59668619,0.643525063,77.258,71.202,9.992659569,9.884750366,10.09922981,7.347117774,6.707502899,7.928360444,3950.845018,2853.640238,5037.7106,0.927,NA,59.04874724,67.21845756,NA,NA,34.54,48.41,0.58403175,4.7847
"39","ALB","Albania","High",74,34,1995,0.632,74.362,3.284364,0.601993901,0.656156762,77.511,71.428,10.05914021,9.816140175,10.30177975,7.345239196,6.711175224,7.930282937,4559.593062,3112.11688,6002.282168,0.917,NA,59.26971318,67.27041126,NA,NA,32.54,48.2,0.636074442,4.9043
"40","ALB","Albania","High",74,34,1996,0.644,74.592,3.271331,0.6119104,0.668033,77.746,71.669,10.16149998,9.909070015,10.41425991,7.627025866,6.997616629,8.222501847,5016.104303,3343.090682,6693.021515,0.916,NA,61.29751564,69.80074852,NA,NA,30.74,47.04,0.616721451,6.5398
"41","ALB","Albania","High",74,34,1997,0.641,73.904,3.253719,0.608134801,0.665154437,77.316,70.773,10.36505985,10.13210011,10.59609032,7.908812536,7.284058034,8.514720758,4496.157339,2901.110201,6103.140796,0.914,NA,63.3253181,72.33108579,NA,NA,43.6,74.4,0.47422657,5.537
"42","ALB","Albania","High",74,34,1998,0.656,74.99,3.2321755,0.622069881,0.681186341,78.021,72.19,10.54819012,10.2832799,10.71015501,8.190599206,7.570499439,8.806939668,4952.589971,3206.683187,6719.079343,0.913,NA,65.35312056,74.86142305,NA,NA,44.1,73.9,0.542885209,6.1872
"43","ALB","Albania","High",74,34,1999,0.668,75.183,3.20826,0.635590758,0.693494392,78.209,72.401,10.63376045,10.43445969,10.8242197,8.472385876,7.856940844,9.099158579,5595.604803,3639.969479,7580.489485,0.917,0.307,67.38092302,77.39176032,5.161290323,94.83870968,43.4,72,0.930784911,6.5771
"44","ALB","Albania","High",74,34,2000,0.678,75.404,3.1820205,0.648879927,0.701471809,78.419,72.646,10.70049,10.54598045,10.8473196,8.754172545,8.143382249,9.39137749,6065.186702,4147.272729,8015.727636,0.925,0.292,69.40872548,79.92209758,5.161290323,94.83870968,44.3,67.8,0.950622262,7.9029
"45","ALB","Albania","High",74,34,2001,0.687,75.639,3.153612,0.659129982,0.709424364,78.618,72.921,10.91763973,10.83911991,10.98567963,8.823679924,8.235190392,9.424059868,6645.338962,4536.763412,8791.303488,0.929,0.243,70.99655151,80.57055664,5.714285714,94.28571429,46.79,69.49,1.021273384,8.4969
"46","ALB","Albania","High",74,34,2002,0.692,75.89,3.123551,0.667308576,0.713647158,78.823,73.22,11.02056026,10.86751747,11.17360306,8.888405664,8.311867441,9.483049938,6920.545333,5046.991015,8826.268051,0.935,0.26,72.10587747,81.20821599,5.714285714,94.28571429,49.28,71.18,1.200012422,9.0462
"47","ALB","Albania","High",74,34,2003,0.701,76.142,3.092991,0.669226341,0.725801131,79.057,73.499,11.37574959,11.24003315,11.51146603,8.953131403,8.388544491,9.542040007,7341.553651,4713.61741,10010.3483,0.922,0.275,73.21520342,81.84587533,5.714285714,94.28571429,27.17,42.88,1.391371653,10.4342
"48","ALB","Albania","High",74,34,2004,0.707,76.376,3.0626225,0.676898493,0.730722673,79.237,73.786,11.50094032,11.44048977,11.54944992,9.017857143,8.465221541,9.601030077,7756.637448,5043.144801,10505.94591,0.926,0.271,74.32452938,82.48353468,6.428571429,93.57142857,27.28,42.35,1.36376608,11.4138
