Unnamed: 0,iso3,country,hdicode,hdi_rank_2022,gii_rank_2022,year,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,mat_footprint_percap_tons
33,AFG,Afghanistan,Low,182.0,162.0,2022,0.462,62.879,41.128771,0.332443297,0.534144723,66.213,59.766,10.70538475,8.053256911,13.22844948,2.514790058,1.174129963,3.912739992,1335.205733,395.9154586,2256.217507,0.622,0.665,7.042049885,24.07703972,27.21518987,72.78481013,23.33,77.09,0.306318324,1.1809
66,ALB,Albania,High,74.0,34.0,2022,0.789,76.833,2.842321,0.780277105,0.798432468,79.472,74.502,14.48746967,14.68103981,14.29220009,10.12114431,9.811468219,10.43385538,15293.32651,13198.53956,17398.00369,0.977,0.116,82.24918524,86.47663419,35.71428571,64.28571429,56.08,69.91,1.717757671,11.7367
99,DZA,Algeria,High,93.0,114.0,2022,0.745,77.129,44.903225,0.681844236,0.773800103,78.457,75.853,15.48787975,16.26417923,14.74388027,6.987443608,6.490567748,7.481537359,10978.40571,3841.656612,17858.79078,0.881,0.46,42.91045642,46.81516971,7.00525394,92.99474606,17.57,65.53,4.079540189,8.7199
132,AND,Andorra,Very High,35.0,,2022,0.884,83.552,0.079824,,,85.838,81.43,12.7837801,12.76506042,12.81062984,11.61343956,11.52258968,11.70438004,54233.44948,,,,,81.71827698,84.59999847,46.42857143,53.57142857,,,4.593592631,
165,AGO,Angola,Medium,150.0,133.0,2022,0.591,61.929,35.588987,0.560890287,0.619679764,64.541,59.351,12.1676,11.5354,12.9099,5.844291601,4.462809114,7.1879602,5327.788251,4696.356687,5973.845631,0.905,0.52,21.33986532,37.41194629,33.63636364,66.36363636,74.73,78.16,0.507358992,3.6568
198,ATG,Antigua and Barbuda,Very High,54.0,,2022,0.826,79.236,0.093763,,,81.645,76.507,15.51232774,16.74628979,14.35053709,10.54622968,10.3442228,10.59597506,18783.96536,,,,,,,31.42857143,68.57142857,,,6.401055579,
231,ARG,Argentina,Very High,48.0,71.0,2022,0.849,76.064,45.510318,0.841405452,0.845472815,79.277,72.851,18.97950935,20.91489983,17.13032913,11.14408016,11.39165974,10.85797977,22047.97131,16933.06291,27264.83091,0.995,0.292,73.59154056,71.6480851,44.3768997,55.6231003,52.08,71.74,4.190779468,14.4512
264,ARM,Armenia,High,76.0,50.0,2022,0.786,73.372,2.780469,0.795110468,0.774941834,78.447,67.866,14.40561008,14.81291008,14.02233982,11.33030033,11.32151985,11.34119034,15388.29976,13442.50133,17770.4153,1.026,0.198,96.00138092,97.05095673,35.51401869,64.48598131,62.8,71.84,2.531087713,7.3553
297,AUS,Australia,Very High,10.0,17.0,2022,0.946,83.579,26.1774135,0.934601518,0.955940587,85.453,81.708,21.0800209,21.98143005,20.19375992,12.72681999,12.81058979,12.63971043,49257.1352,41131.47085,57495.77158,0.978,0.063,94.58006287,94.43006897,44.49339207,55.50660793,62.31,71.13,14.91476303,26.9245
330,AUT,Austria,Very High,22.0,12.0,2022,0.926,82.412,8.939617,0.911591936,0.937756448,84.6,80.15,16.36746025,16.83849907,15.92267036,12.30571367,12.04894857,12.57887231,56529.66329,41899.21124,71616.2043,0.972,0.048,100.0,100.0,40.98360656,59.01639344,56.55,66.69,7.399461247,27.9621
363,AZE,Azerbaijan,High,89.0,77.0,2022,0.76,73.488,10.358074,0.743349756,0.773371293,76.249,70.55,12.71063042,12.67574024,12.74398041,10.55612992,10.21799194,10.91843537,15018.05443,11526.15794,18603.12947,0.961,0.329,93.5774011,97.57326992,18.33333333,81.66666667,61.9,69.6,3.717029937,8.3385
396,BHS,Bahamas,Very High,57.0,79.0,2022,0.82,74.358,0.409984,0.822293357,0.816891253,77.843,70.757,11.89137971,12.16470981,11.61521687,12.73161494,12.82493607,12.65641572,32534.88784,28374.91931,37084.66455,1.007,0.333,86.76156148,90.02490432,20.0,80.0,68.96,73.91,5.14996102,16.6713
429,BHR,Bahrain,Very High,34.0,45.0,2022,0.888,79.246,1.472233,0.847333815,0.90429854,80.497,78.242,16.29968071,17.0064106,15.73036003,11.04658985,10.78437042,11.17325974,48731.44564,22722.17852,64699.53364,0.937,0.181,79.90357208,83.08016205,22.5,77.5,42.43,85.77,26.05303892,20.3063
462,BGD,Bangladesh,Medium,129.0,127.0,2022,0.67,73.698,171.1863725,0.63460476,0.694222638,76.012,71.514,11.94633007,12.40666962,11.50172043,7.379059792,6.755380154,8.020810127,6511.122178,3684.291333,9386.85327,0.914,0.498,43.65986785,50.50793677,20.85714286,79.14285714,39.15,81.39,0.583152966,4.6457
495,BRB,Barbados,Very High,62.0,70.0,2022,0.809,77.706,0.281635,0.815370599,0.791955966,79.581,75.677,16.53069367,18.28634039,14.7716475,9.89206168,10.35100499,9.098828828,14810.23783,12594.97579,17213.53176,1.03,0.289,95.72636154,86.27997705,32.65306122,67.34693878,58.17,65.14,4.361308677,
528,BLR,Belarus,Very High,69.0,29.0,2022,0.801,73.246,9.5349545,0.801134982,0.798781621,78.384,68.09,13.98153019,13.91798019,14.04238033,12.24122445,12.26702163,12.20894866,18425.01061,14502.49303,23021.57386,1.003,0.096,98.37734548,99.45970879,34.70588235,65.29411765,65.79,75.26,6.362198529,
561,BEL,Belgium,Very High,12.0,11.0,2022,0.942,82.293,11.65593,0.928892167,0.9522897,84.367,80.16,18.94573975,19.9310894,17.99295044,12.52857789,12.50440062,12.55379975,53644.03854,43720.35057,63804.35597,0.975,0.044,88.69869175,90.74669673,44.28571429,55.71428571,50.8,59.54,8.23913942,26.5463
594,BLZ,Belize,High,118.0,113.0,2022,0.7,70.962,0.4052725,0.691356814,0.704094307,74.685,67.721,12.42656994,12.80862045,12.05408001,8.847599983,9.042070389,8.652890205,9242.082259,6318.806742,12133.48464,0.982,0.454,54.48728943,49.83901978,19.56521739,80.43478261,48.56,75.61,1.755038984,9.775
627,BEN,Benin,Low,173.0,160.0,2022,0.504,59.954,13.352864,0.461636484,0.544450366,61.676,58.265,10.30257988,9.462470055,11.12106991,3.137261725,2.059994265,4.401454468,3406.072937,2603.750395,4205.30987,0.848,0.649,9.189770574,21.49103186,7.407407407,92.59259259,51.59,67.8,0.639583531,4.4761
660,BTN,Bhutan,Medium,125.0,80.0,2022,0.681,72.229,0.782455,0.669679955,0.690410405,74.152,70.57,13.06449041,13.59799871,12.55190209,5.835794662,5.211722545,6.330068068,10624.87388,9342.861603,11766.25908,0.97,0.334,26.6817707,34.25285327,15.71428571,84.28571429,53.48,73.45,1.366198234,24.7398
693,BOL,Bolivia (Plurinational State of),Medium,120.0,105.0,2022,0.698,64.928,12.22411,0.686215519,0.71118959,67.907,62.265,15.02243817,15.13321182,14.90989854,9.827750206,9.216730118,10.49209023,7987.842247,6726.868071,9242.926257,0.965,0.418,58.40999985,69.51999664,48.19277108,51.80722892,71.84,85.03,1.798596826,11.3196
726,BIH,Bosnia and Herzegovina,High,80.0,40.0,2022,0.779,75.293,3.2335265,0.758684982,0.79727976,77.498,73.126,13.27705956,13.77554035,12.80607986,10.53631973,9.778189659,11.35262966,16571.41275,12419.85276,20853.11145,0.952,0.148,82.73858643,94.02471924,17.54385965,82.45614035,41.11,61.8,6.095489894,13.8976
759,BWA,Botswana,High,114.0,120.0,2022,0.708,65.913,2.630296,0.706553532,0.70818007,68.399,63.328,11.42568016,11.77283955,11.08065033,10.42,10.36,10.47,14841.57836,13675.9711,16036.5159,0.998,0.483,92.1,92.5,11.11111111,88.88888889,60.06,69.71,2.370748521,7.9684
792,BRA,Brazil,High,89.0,94.0,2022,0.76,73.425,215.313498,0.758197177,0.758060299,76.596,70.296,15.5788002,16.22303963,14.95001984,8.278307638,8.486056479,8.039534208,14615.89235,11291.52637,18061.22633,1.0,0.391,67.40000153,64.97000122,17.50841751,82.49158249,53.75,73.64,2.319857519,17.0975
825,BRN,Brunei Darussalam,Very High,55.0,68.0,2022,0.823,74.551,0.4490015,0.81438208,0.828827421,76.791,72.509,13.69861984,14.17733955,13.25224972,9.22,9.23,9.23,59245.63485,44702.92641,72823.32823,0.983,0.279,70.9,71.5,9.090909091,90.90909091,54.89,71.65,25.37625765,37.8287
858,BGR,Bulgaria,High,70.0,53.0,2022,0.799,71.528,6.781953,0.796689706,0.800341486,75.08,68.278,13.86802959,14.12744999,13.62205982,11.41318035,11.50780964,11.30865955,25920.80375,20700.00207,31466.04791,0.995,0.206,94.88394165,96.54078674,24.16666667,75.83333333,50.57,63.11,6.14038782,16.5341
891,BFA,Burkina Faso,Low,185.0,146.0,2022,0.438,59.766,22.673762,0.408973007,0.464030731,61.505,57.953,8.091560364,8.18846035,8.001529694,2.318685239,1.634014826,3.090802176,2036.997179,1453.770925,2624.118024,0.881,0.577,11.1812398,20.34372055,16.90140845,83.09859155,27.54,40.97,0.266000829,2.4607
924,BDI,Burundi,Low,187.0,128.0,2022,0.42,61.977,12.8895765,0.404064715,0.436317438,63.868,60.077,9.966378953,10.19314993,9.747024594,3.305215598,2.636837474,4.066341066,712.0260007,635.6426737,789.4561469,0.926,0.499,8.178422559,13.76234396,38.88888889,61.11111111,77.99,79.12,0.063739656,1.6002
957,CPV,Cabo Verde,Medium,131.0,75.0,2022,0.661,74.722,0.5931495,0.651791582,0.664166564,79.011,70.29,11.53066323,11.77959971,11.28772218,6.09003905,5.807281856,6.329140157,7601.085433,5731.943011,9491.323885,0.981,0.325,28.82934555,31.68248541,38.88888889,61.11111111,46.71,62.76,0.950563422,
