County, Early Voting,Education,
ANDERSON,49.32,11.7,
ANDREWS,46.11,10.4,
ANGELINA,53.8,16.3,
ARANSAS,59.55,21.7,
ARCHER,55.41,23.4,
ARMSTRONG,56.21,23.2,
ATASCOSA,50.11,13.3,
AUSTIN,56.42,23.5,
BAILEY,36.14,17.7,
BANDERA,64.47,23.8,
BASTROP,60.23,20.4,
BAYLOR,57.43,19.7,
BEE,46.99,10.2,
BELL,48.04,24.5,
BEXAR,57.17,27.6,
BLANCO,68.14,27.1,
BORDEN,60.72,35,
BOSQUE,51.2,18.5,
BOWIE,48.78,19.9,
BRAZORIA,62.19,29.7,
BRAZOS,57.66,40.8,
BREWSTER,53.46,39.4,
BRISCOE,43.9,22.7,
BROOKS,32.26,17.6,
BROWN,51.8,19.3,
BURLESON,53.54,17.1,
BURNET,61.39,25.1,
CALDWELL,47.11,14.8,
CALHOUN,42.74,15,
CALLAHAN,55.55,19.1,
CAMERON,44.01,17.3,
CAMP,52.25,18.6,
CARSON,43.91,30.4,
CASS,44.54,16.4,
CASTRO,28.89,14.8,
CHAMBERS,61.65,21.5,
CHEROKEE,52.97,16.9,
CHILDRESS,48.69,17.3,
CLAY,51.84,18.6,
COCHRAN,33.6,8.2,
COKE,49.54,17.1,
COLEMAN,59.3,15.6,
COLLIN,69.54,51.7,
COLLINGSWORTH,43.61,18.4,
COLORADO,55.62,18.6,
COMAL,60.91,35.3,
COMANCHE,48.72,19.8,
CONCHO,44.28,11.9,
COOKE,49.86,20.5,
CORYELL,46.21,15.7,
COTTLE,45.73,15.3,
CRANE,40.26,12.4,
CROCKETT,49.21,14.1,
CROSBY,33.45,12.8,
CULBERSON,33,9,
DALLAM,33.62,13.6,
DALLAS,55.81,30.7,
DAWSON,41.22,12.5,
DEAF SMITH ,40.81,12.2,
DELTA,45.61,21.3,
DENTON,67.97,44.5,
DEWITT,51.14,12.8,
DICKENS,50.68,16.7,
DIMMIT,33.32,14.1,
DONLEY,49.7,19.8,
DUVAL,49.07,9.3,
EASTLAND,53.09,13.3,
ECTOR,43.92,15.6,
EDWARDS,51.3,20.8,
EL PASO,45.39,22.8,
ELLIS,62.51,23.1,
ERATH,56,29.7,
FALLS,34.79,12.9,
FANNIN,49.09,16.7,
FAYETTE,54.37,18.1,
FISHER,49.55,18.2,
FLOYD,43.32,15.9,
FOARD,46.72,16.2,
FORT BEND,68.27,46.1,
FRANKLIN,55.09,23.6,
FREESTONE,52.13,13,
FRIO,41.67,7.2,
GAINES,53.6,12.4,
GALVESTON,60.19,30,
GARZA,46.18,13.9,
GILLESPIE,61.81,33.8,
GLASSCOCK,61.63,23.2,
GOLIAD,48.18,17.6,
GONZALES,48.43,12.3,
GRAY,45.62,13.3,
GRAYSON,57.92,20.5,
GREGG,58.69,20.8,
GRIMES,52.31,14.6,
GUADALUPE,60.59,27.5,
HALE,35.13,16.5,
HALL,41.9,14.3,
HAMILTON,53.77,21.7,
HANSFORD,44.67,14.3,
HARDEMAN,40.63,14.5,
HARDIN,56.81,15.3,
HARRIS,57.92,31,
HARRISON,56.03,19.1,
HARTLEY,55.41,17.2,
HASKELL,40.78,13.4,
HAYS,63.88,37.4,
HEMPHILL,49.21,21,
HENDERSON,48.9,18.2,
HIDALGO,48.16,18.4,
HILL,41.83,17.1,
HOCKLEY,45.46,14,
HOOD,57.31,26.1,
HOPKINS,53.32,18.3,
HOUSTON,52.87,14.1,
HOWARD,48.11,12.3,
HUDSPETH,27.05,6.9,
HUNT,47.33,19.3,
HUTCHINSON,51.72,13.8,
IRION,51.46,16.9,
JACK,55.71,12.6,
JACKSON,52.66,16.1,
JASPER,54.78,12.4,
JEFF DAVIS,62.16,35.1,
JEFFERSON,56.3,19.6,
JIM HOGG,38.05,12.3,
JIM WELLS,33.12,12.7,
JOHNSON,57.44,18.3,
JONES,45.04,11.5,
KARNES,44.06,14.4,
KAUFMAN,58.48,20.7,
KENDALL,68.89,40.9,
